,Drużyna,Sezon,Avg._posiadanie,Avg.strzały,Avg.strzały_celne,Avg.strzały_niecelne,Avg.strzały_zablokowane,Avg.rzuty_rożne,Avg.spalone,Avg.obrony_bramkarza,Avg.faule,Avg.Żółte_kartki,Avg.Czerwone_kartki,%_SFG
137,Jagiellonia,15/16,45%,"14,08","5,03","5,95","3,11","5,62","1,86","2,57","13,35","1,89","0,11","36,96%"
138,Korona Kielce,15/16,46%,"13,59","4,32","5,95","3,32","4,54","1,16","3,30","15,62","1,97","0,03","46,15%"
139,Lech Poznań,15/16,54%,"14,89","5,05","6,68","3,16","5,73","1,27","3,24","12,70","2,03","0,03","19,05%"
140,Lechia Gdańsk,15/16,55%,"14,16","4,92","5,84","3,41","5,08","2,11","2,43","12,95","2,16","0,08","28,30%"
141,Legia Warszawa,15/16,55%,"13,27","5,11","5,57","2,59","6,41","3,16","2,76","12,54","1,86","0,05","21,43%"
142,Piast Gliwice,15/16,51%,"13,68","4,62","5,57","3,49","5,59","2,76","3,51","14,51","1,97","0,08","31,67%"
143,Podbeskidzie,15/16,47%,"13,27","3,84","5,89","3,54","4,59","1,86","4,95","13,92","2,22","0,16","26,67%"
144,Pogoń Szczecin,15/16,47%,"12,30","3,65","5,54","3,11","4,89","2,08","3,19","16,24","1,65","0,03","41,86%"
145,Ruch Chorzów,15/16,49%,"10,97","3,95","5,03","2,00","4,73","1,41","3,49","10,46","1,41","0,19","32,50%"
146,Śląsk Wrocław,15/16,50%,"13,92","4,70","5,86","3,35","5,19","1,89","3,59","15,49","2,46","0,05","29,27%"
147,Termalica,15/16,51%,"12,38","4,11","5,57","2,70","4,68","1,14","3,24","13,65","2,05","0,05","46,15%"
148,Wisła Kraków,15/16,54%,"14,51","4,97","6,14","3,41","5,08","1,46","3,24","14,22","2,05","0,03","26,23%"
149,Zagłębie Lubin,15/16,49%,"13,41","4,51","5,92","2,97","5,32","2,03","2,65","15,27","2,22","0,05","29,09%"
150,Cracovia,14/15,51%,"14,38","5,30","6,03","3,05","5,81",Brak danych,"2,35","14,00","2,03","0,05","26,00%"
151,GKS Bełchatów,14/15,48%,"9,97","3,38","4,19","2,41","4,43",Brak danych,"1,46","15,46","2,08","0,11","20,00%"
152,Górnik Łęczna,14/15,48%,"13,27","4,65","5,46","3,16","5,11",Brak danych,"2,51","13,78","2,00","0,14","20,51%"
153,Górnik Zabrze,14/15,51%,"11,68","4,22","4,81","2,65","4,62",Brak danych,"1,49","13,24","2,00","0,11","26,00%"
154,Jagiellonia,14/15,45%,"11,59","4,54","4,97","2,08","4,68",Brak danych,"1,51","12,97","1,70","0,08","23,73%"
155,Korona Kielce,14/15,47%,"11,76","4,00","5,19","2,57","5,35",Brak danych,"1,49","14,89","2,27","0,11","29,55%"
156,Lech Poznań,14/15,54%,"14,49","5,97","5,86","2,65","5,14",Brak danych,"1,54","15,30","2,05","0,05","22,39%"
157,Lechia Gdańsk,14/15,55%,"15,54","4,95","6,65","3,95","5,81",Brak danych,"1,46","14,27","1,97","0,16","33,33%"
158,Legia Warszawa,14/15,57%,"13,51","5,22","5,24","3,05","6,73",Brak danych,"2,43","12,49","2,00","0,14","32,81%"
159,Piast Gliwice,14/15,47%,"11,51","3,73","5,14","2,65","4,78",Brak danych,"1,76","14,24","1,54","0,03","30,00%"
160,Podbeskidzie,14/15,47%,"13,11","4,22","5,49","3,41","5,49",Brak danych,"1,54","14,41","2,11","0,19","40,43%"
161,Pogoń Szczecin,14/15,49%,"12,73","4,03","5,57","3,14","4,92",Brak danych,"1,84","16,00","2,03","0,08","28,89%"
162,Ruch Chorzów,14/15,48%,"9,97","3,65","4,49","1,84","4,30",Brak danych,"1,73","10,81","1,95","0,05","27,27%"
163,Śląsk Wrocław,14/15,52%,"14,05","4,78","5,59","3,68","6,11",Brak danych,"1,95","13,73","1,84","0,08","22,00%"
164,Wisła Kraków,14/15,52%,"12,62","4,46","5,11","3,05","4,92",Brak danych,"1,78","14,89","2,27","0,14","21,43%"
165,Zawisza Bydgoszcz,14/15,50%,"11,95","4,30","4,84","2,81","4,49",Brak danych,"1,51","15,03","1,92","0,16","24,44%"
