,Data,Godzina,Sezon,Gospodarze,Gole_gospodarze,Gole_goście,Goście,Oddsy_gospodarze,Oddsy_remis,Oddsy_goście,Kto_wygrał,Punkty_Gospodarze,Zwycięstwa_Gospodarze,Remisy_Gospodarze,Porażki_Gospodarze,Gole_zdobyte_Gospodarze,Gole_stracone_Gospodarze,Avg._posiadanie_Gospodarze,Avg.strzały_Gospodarze,Avg.strzały_celne_Gospodarze,Avg.strzały_niecelne_Gospodarze,Avg.strzały_zablokowane_Gospodarze,Avg.rzuty_rożne_Gospodarze,Avg.spalone_Gospodarze,Avg.obrony_bramkarza_Gospodarze,Avg.faule_Gospodarze,Avg.Żółte_kartki_Gospodarze,Avg.Czerwone_kartki_Gospodarze,%_SFG_Gospodarze,Punkty_Goście,Zwycięstwa_Goście,Remisy_Goście,Porażki_Goście,Gole_zdobyte_Goście,Gole_stracone_Goście,Avg._posiadanie_Goście,Avg.strzały_Goście,Avg.strzały_celne_Goście,Avg.strzały_niecelne_Goście,Avg.strzały_zablokowane_Goście,Avg.rzuty_rożne_Goście,Avg.spalone_Goście,Avg.obrony_bramkarza_Goście,Avg.faule_Goście,Avg.Żółte_kartki_Goście,Avg.Czerwone_kartki_Goście,%_SFG_Goście
915,15 Lip 2022,20:30,22/23,Zagłębie Lubin,0,0,Śląsk Wrocław,2.37,3.35,3.21,Remis,38.0,11.0,5.0,18.0,43.0,59.0,49.0,13.18,3.94,5.82,3.41,5.21,1.41,3.59,14.82,2.44,0.12,34.88,35.0,7.0,14.0,13.0,42.0,52.0,48.0,12.71,4.26,5.09,3.35,4.56,1.97,3.5,13.62,2.15,0.15,30.95
916,15 Lip 2022,18:00,22/23,Raków Częstochowa,1,0,Warta Poznań,1.47,4.3,8.11,Wygrali gospodarze,69.0,20.0,9.0,5.0,60.0,30.0,50.0,13.65,5.62,5.26,2.76,6.15,1.74,2.59,13.65,2.29,0.12,41.67,42.0,11.0,9.0,14.0,35.0,38.0,44.0,10.06,3.41,3.85,2.79,4.29,1.76,2.53,15.62,2.03,0.06,40.0
917,21 Maj 2022,17:30,21/22,Górnik Łęczna,0,1,Jagiellonia,3.73,3.57,2.02,Wygrali goście,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394,37.0,10.0,7.0,13.0,39.0,48.0,48.0,11.53,4.2,4.57,2.77,4.37,1.63,3.73,14.9,2.33,0.17,30.77
918,21 Maj 2022,17:30,21/22,Lech Poznań,2,1,Zagłębie Lubin,1.39,5.52,7.27,Wygrali gospodarze,37.0,9.0,10.0,11.0,39.0,38.0,59.0,15.6,4.97,5.83,4.8,6.67,1.5,3.13,13.37,1.77,0.0,35.9,41.0,11.0,8.0,11.0,38.0,40.0,51.0,11.87,3.97,5.03,2.87,4.9,1.9,3.37,13.27,2.13,0.1,55.26
919,21 Maj 2022,17:30,21/22,Legia Warszawa,3,0,Cracovia,1.94,3.55,4.15,Wygrali gospodarze,64.0,19.0,7.0,4.0,48.0,24.0,58.0,15.33,5.23,6.0,4.1,6.13,1.57,2.3,14.07,1.83,0.03,25.0,32.0,8.0,13.0,9.0,28.0,32.0,48.0,12.03,3.63,4.67,3.73,4.37,1.67,3.43,15.8,2.5,0.17,50.0
920,21 Maj 2022,17:30,21/22,Piast Gliwice,1,1,Radomiak Radom,2.07,3.45,3.68,Remis,42.0,11.0,9.0,10.0,39.0,32.0,51.0,13.13,4.37,5.57,3.2,4.5,1.83,3.13,12.7,1.8,0.0,30.77,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394
921,21 Maj 2022,17:30,21/22,Pogoń Szczecin,2,2,Termalica Bruk-Bet Nieciecza,1.43,5.13,6.8,Remis,52.0,15.0,7.0,8.0,36.0,23.0,55.0,12.93,4.5,5.2,3.23,6.2,2.1,2.47,13.7,2.07,0.07,44.44,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394
922,21 Maj 2022,17:30,21/22,Raków Częstochowa,3,0,Lechia Gdańsk,1.31,5.88,10.02,Wygrali gospodarze,59.0,17.0,8.0,5.0,46.0,25.0,47.0,13.1,5.03,5.03,3.03,5.97,1.57,2.53,14.77,1.93,0.07,45.65,42.0,12.0,6.0,12.0,40.0,37.0,50.0,13.07,4.03,5.3,3.73,5.47,1.83,3.73,16.03,2.73,0.17,47.5
923,21 Maj 2022,17:30,21/22,Śląsk Wrocław,3,4,Górnik Zabrze,2.67,3.78,2.53,Wygrali goście,43.0,11.0,10.0,9.0,36.0,32.0,47.0,12.07,4.13,5.2,2.73,4.6,1.53,3.37,15.33,1.83,0.1,41.67,37.0,10.0,7.0,13.0,31.0,33.0,51.0,14.1,4.8,5.27,4.03,5.63,1.27,2.8,14.17,2.17,0.0,35.48
924,21 Maj 2022,17:30,21/22,Wisła Kraków,0,1,Warta Poznań,2.35,3.32,3.14,Wygrali goście,33.0,8.0,9.0,13.0,39.0,42.0,50.0,12.8,4.2,5.2,3.4,6.13,2.0,3.53,15.2,2.67,0.03,35.9,43.0,13.0,4.0,13.0,33.0,32.0,44.0,10.07,3.13,4.37,2.57,4.53,1.6,2.77,13.9,1.47,0.07,21.21
