,Data,Godzina,Sezon,Gospodarze,Gole_gospodarze,Gole_goście,Goście,Oddsy_gospodarze,Oddsy_remis,Oddsy_goście,Kto_wygrał
2114,07 Kwi 2018,18:00,17/18,Legia Warszawa,3,0,Pogoń Szczecin,1.75,3.6,4.65,Wygrali gospodarze
2115,07 Kwi 2018,18:00,17/18,Piast Gliwice,1,1,Bruk-Bet T.,1.92,3.35,4.1,Remis
2116,07 Kwi 2018,18:00,17/18,Sandecja Nowy Sącz,0,0,Wisła Kraków,3.9,3.4,1.95,Remis
2117,07 Kwi 2018,18:00,17/18,Śląsk Wrocław,1,1,Korona Kielce,2.35,3.3,2.98,Remis
2118,02 Kwi 2018,18:00,17/18,Pogoń Szczecin,3,2,Śląsk Wrocław,1.85,3.4,4.25,Wygrali gospodarze
2119,02 Kwi 2018,18:00,17/18,Wisła Kraków,1,3,Lech Poznań,2.6,3.1,2.8,Wygrali goście
2120,02 Kwi 2018,15:30,17/18,Wisła Płock,1,0,Piast Gliwice,2.12,3.25,3.4,Wygrali gospodarze
2121,02 Kwi 2018,15:30,17/18,Zagłębie Lubin,1,0,Jagiellonia Białystok,2.72,3.1,2.6,Wygrali gospodarze
2122,31-Mar-18,20:30,17/18,Arka Gdynia,1,0,Legia Warszawa,3.25,3.2,2.26,Wygrali gospodarze
2123,31-Mar-18,18:00,17/18,Korona Kielce,1,0,Lechia Gdańsk,1.95,3.35,3.85,Wygrali gospodarze
2124,31-Mar-18,15:30,17/18,Górnik Zabrze,2,2,Sandecja Nowy Sącz,1.6,3.7,5.7,Remis
2125,31-Mar-18,15:30,17/18,Bruk-Bet T.,2,0,Cracovia,2.9,3.25,2.45,Wygrali gospodarze
2126,18-Mar-18,18:00,17/18,Legia Warszawa,0,2,Wisła Kraków,1.75,3.7,4.4,Wygrali goście
2127,18-Mar-18,15:30,17/18,Cracovia,2,1,Sandecja Nowy Sącz,1.58,3.8,6,Wygrali gospodarze
2128,18-Mar-18,15:30,17/18,Śląsk Wrocław,1,1,Wisła Płock,2.65,3.15,2.72,Remis
2129,17-Mar-18,20:30,17/18,Korona Kielce,2,2,Górnik Zabrze,2.05,3.3,3.5,Remis
2130,17-Mar-18,18:00,17/18,Jagiellonia Białystok,3,2,Arka Gdynia,1.62,3.75,5.4,Wygrali gospodarze
2131,17-Mar-18,15:30,17/18,Bruk-Bet T.,2,4,Pogoń Szczecin,3.1,3.2,2.32,Wygrali goście
2132,16-Mar-18,20:30,17/18,Lech Poznań,3,0,Lechia Gdańsk,1.5,4,7,Wygrali gospodarze
2133,16-Mar-18,18:00,17/18,Piast Gliwice,0,0,Zagłębie Lubin,2.35,3.15,3.05,Remis
2134,12-Mar-18,18:00,17/18,Arka Gdynia,4,0,Bruk-Bet T.,2.02,3.25,3.85,Wygrali gospodarze
2135,11-Mar-18,18:00,17/18,Lechia Gdańsk,1,3,Legia Warszawa,3.1,3,2.32,Wygrali goście
2136,11-Mar-18,15:30,17/18,Lech Poznań,5,1,Jagiellonia Białystok,2.22,3.22,3.25,Wygrali gospodarze
2137,10-Mar-18,20:30,17/18,Wisła Płock,2,0,Korona Kielce,2.15,3.25,3.3,Wygrali gospodarze
2138,10-Mar-18,18:00,17/18,Pogoń Szczecin,0,3,Cracovia,1.77,3.5,4.8,Wygrali goście
2139,10-Mar-18,15:30,17/18,Sandecja Nowy Sącz,0,3,Piast Gliwice,3.15,3.2,2.3,Wygrali goście
2140,09-Mar-18,20:30,17/18,Wisła Kraków,3,1,Śląsk Wrocław,1.8,3.47,4.65,Wygrali gospodarze
2141,09-Mar-18,18:00,17/18,Górnik Zabrze,2,2,Zagłębie Lubin,2.2,3.25,3.45,Remis
2142,05-Mar-18,18:00,17/18,Jagiellonia Białystok,2,0,Wisła Kraków,1.67,3.65,5.1,Wygrali gospodarze
2143,04-Mar-18,18:00,17/18,Legia Warszawa,2,1,Lech Poznań,2.2,3.2,3.4,Wygrali gospodarze
2144,04-Mar-18,15:30,17/18,Cracovia,2,1,Arka Gdynia,2.22,3.2,3.3,Wygrali gospodarze
2145,04-Mar-18,18:00,17/18,Korona Kielce,0,0,Pogoń Szczecin,2.27,3.2,3.1,
2146,04-Mar-18,15:30,17/18,Śląsk Wrocław,0,0,Sandecja Nowy Sącz,1.87,3.5,4.2,Remis
2147,02-Mar-18,20:30,17/18,Zagłębie Lubin,0,0,Lechia Gdańsk,2.05,3.25,3.75,Remis
2148,02-Mar-18,18:00,17/18,Bruk-Bet T.,1,2,Wisła Płock,2.66,3.1,2.65,Wygrali goście
2149,28 Lut 2018,20:30,17/18,Arka Gdynia,0,0,Piast Gliwice,2.16,3.25,3.35,Remis
2150,28 Lut 2018,20:30,17/18,Lech Poznań,2,1,Śląsk Wrocław,1.48,4.15,7.2,Wygrali gospodarze
2151,28 Lut 2018,18:00,17/18,Górnik Zabrze,0,0,Pogoń Szczecin,2.2,3.3,3.2,Remis
2152,28 Lut 2018,18:00,17/18,Wisła Kraków,1,1,Korona Kielce,2.55,3.25,2.72,Remis
2153,27 Lut 2018,20:30,17/18,Legia Warszawa,0,2,Jagiellonia Białystok,1.92,3.35,4,Wygrali goście
2154,27 Lut 2018,20:30,17/18,Sandecja Nowy Sącz,0,1,Zagłębie Lubin,3.45,3.2,2.17,Wygrali goście
2155,27 Lut 2018,18:00,17/18,Lechia Gdańsk,2,2,Bruk-Bet T.,1.85,3.4,4.25,Remis
2156,27 Lut 2018,18:00,17/18,Wisła Płock,0,1,Cracovia,1.85,3.35,4.35,Wygrali goście
2157,25 Lut 2018,18:00,17/18,Korona Kielce,1,0,Lech Poznań,2.96,3.2,2.4,Wygrali gospodarze
2158,25 Lut 2018,15:30,17/18,Piast Gliwice,0,0,Wisła Kraków,2.58,3.2,2.75,Remis
2159,25 Lut 2018,15:30,17/18,Śląsk Wrocław,1,1,Górnik Zabrze,2.45,3.35,2.8,Remis
2160,24 Lut 2018,20:30,17/18,Cracovia,0,0,Legia Warszawa,4.35,3.4,1.85,Remis
2161,24 Lut 2018,18:00,17/18,Pogoń Szczecin,2,1,Wisła Płock,2.02,3.4,3.65,Wygrali gospodarze
2162,24 Lut 2018,15:30,17/18,Bruk-Bet T.,1,0,Sandecja Nowy Sącz,1.96,3.3,4,Wygrali gospodarze
2163,23 Lut 2018,20:30,17/18,Jagiellonia Białystok,4,1,Lechia Gdańsk,1.95,3.25,4.1,Wygrali gospodarze
2164,23 Lut 2018,18:00,17/18,Zagłębie Lubin,0,0,Arka Gdynia,2,3.25,4.1,Remis
2165,19 Lut 2018,18:00,17/18,Górnik Zabrze,3,0,Bruk-Bet T.,1.77,3.7,4.35,Wygrali gospodarze
2166,18 Lut 2018,18:00,17/18,Lech Poznań,2,0,Pogoń Szczecin,1.77,3.4,4.65,Wygrali gospodarze
2167,18 Lut 2018,15:30,17/18,Lechia Gdańsk,0,2,Piast Gliwice,1.72,3.65,4.95,Wygrali goście
2168,17 Lut 2018,20:30,17/18,Wisła Kraków,3,2,Arka Gdynia,2.12,3.25,3.65,Wygrali gospodarze
2169,17 Lut 2018,18:00,17/18,Jagiellonia Białystok,1,0,Cracovia,1.7,3.65,5,Wygrali gospodarze
2170,17 Lut 2018,15:30,17/18,Wisła Płock,2,0,Zagłębie Lubin,2.22,3.25,3.35,Wygrali gospodarze
2171,16 Lut 2018,20:30,17/18,Legia Warszawa,4,1,Śląsk Wrocław,1.4,4.3,8,Wygrali gospodarze
2172,16 Lut 2018,18:00,17/18,Sandecja Nowy Sącz,3,3,Korona Kielce,3.6,3.4,2.05,Remis
2173,12 Lut 2018,18:00,17/18,Piast Gliwice,0,2,Jagiellonia Białystok,3.05,3.15,2.4,Wygrali goście
2174,11 Lut 2018,18:00,17/18,Arka Gdynia,0,0,Lech Poznań,4.05,3.15,2.05,Remis
2175,11 Lut 2018,15:30,17/18,Bruk-Bet T.,0,3,Korona Kielce,2.68,3.15,2.6,Wygrali goście
2176,10 Lut 2018,20:30,17/18,Lechia Gdańsk,1,1,Wisła Kraków,2.15,3.25,3.55,Remis
2177,10 Lut 2018,18:00,17/18,Cracovia,2,1,Śląsk Wrocław,2.2,3.25,3.45,Wygrali gospodarze
2178,10 Lut 2018,15:30,17/18,Pogoń Szczecin,4,1,Sandecja Nowy Sącz,1.62,3.75,5.9,Wygrali gospodarze
2179,09 Lut 2018,20:30,17/18,Zagłębie Lubin,2,3,Legia Warszawa,3.2,3.2,2.35,Wygrali goście
2180,09 Lut 2018,18:00,17/18,Wisła Płock,4,2,Górnik Zabrze,2.44,3.3,2.85,Wygrali gospodarze
2181,18 Gru 2017,18:00,17/18,Górnik Zabrze,0,4,Cracovia,1.71,3.7,4.7,Wygrali goście
2182,17 Gru 2017,18:00,17/18,Wisła Kraków,1,2,Zagłębie Lubin,2.32,3.2,3.2,Wygrali goście
2183,17 Gru 2017,15:30,17/18,Lech Poznań,3,1,Bruk-Bet T.,1.52,4.1,6.6,Wygrali gospodarze
2184,16 Gru 2017,20:30,17/18,Legia Warszawa,0,2,Wisła Płock,1.65,3.65,5.8,Wygrali goście
2185,16 Gru 2017,18:00,17/18,Sandecja Nowy Sącz,2,2,Lechia Gdańsk,3.45,3.25,2.2,Remis
2186,16 Gru 2017,15:30,17/18,Pogoń Szczecin,1,0,Arka Gdynia,1.96,3.2,4.35,Wygrali gospodarze
2187,15 Gru 2017,20:30,17/18,Śląsk Wrocław,1,0,Jagiellonia Białystok,3.35,3.15,2.3,Wygrali gospodarze
2188,15 Gru 2017,18:00,17/18,Korona Kielce,1,1,Piast Gliwice,1.81,3.6,4.5,Remis
2189,13 Gru 2017,20:30,17/18,Cracovia,1,4,Wisła Kraków,2.5,3.15,2.85,Wygrali goście
2190,13 Gru 2017,20:30,17/18,Wisła Płock,2,2,Sandecja Nowy Sącz,1.76,3.45,4.75,Remis
2191,13 Gru 2017,18:00,17/18,Lechia Gdańsk,1,3,Pogoń Szczecin,2.01,3.35,3.6,Wygrali goście
2192,13 Gru 2017,18:00,17/18,Zagłębie Lubin,0,0,Lech Poznań,2.75,3.15,2.55,Remis
2193,12 Gru 2017,20:30,17/18,Arka Gdynia,1,0,Górnik Zabrze,2.55,3.2,2.7,Wygrali gospodarze
2194,12 Gru 2017,20:30,17/18,Bruk-Bet T.,2,1,Śląsk Wrocław,2.42,3.2,2.9,Wygrali gospodarze
2195,12 Gru 2017,18:00,17/18,Jagiellonia Białystok,5,1,Korona Kielce,2.07,3.25,3.55,Wygrali gospodarze
2196,12 Gru 2017,18:00,17/18,Piast Gliwice,0,1,Legia Warszawa,4.15,3.6,1.82,Wygrali goście
2197,10 Gru 2017,18:00,17/18,Lech Poznań,1,0,Cracovia,1.57,3.75,6.5,Wygrali gospodarze
2198,10 Gru 2017,15:30,17/18,Pogoń Szczecin,3,3,Zagłębie Lubin,2.18,3.2,3.15,Remis
2199,10 Gru 2017,15:30,17/18,Wisła Kraków,0,1,Wisła Płock,2,3.3,3.85,Wygrali goście
2200,09 Gru 2017,20:30,17/18,Legia Warszawa,3,0,Bruk-Bet T.,1.47,4.25,7.15,Wygrali gospodarze
2201,09 Gru 2017,18:00,17/18,Korona Kielce,0,3,Arka Gdynia,1.8,3.4,4.65,Wygrali goście
2202,09 Gru 2017,15:30,17/18,Śląsk Wrocław,2,2,Piast Gliwice,1.8,3.45,4.6,Remis
2203,08 Gru 2017,20:30,17/18,Górnik Zabrze,1,1,Lechia Gdańsk,2.2,3.25,3.3,Remis
2204,08 Gru 2017,18:00,17/18,Sandecja Nowy Sącz,0,1,Jagiellonia Białystok,3.15,3.2,2.36,Wygrali goście
2205,04 Gru 2017,18:00,17/18,Cracovia,2,2,Korona Kielce,3.1,3.15,2.37,Remis
2206,03 Gru 2017,18:00,17/18,Wisła Kraków,2,3,Górnik Zabrze,2.35,3.3,3.1,Wygrali goście
2207,03 Gru 2017,15:30,17/18,Piast Gliwice,0,0,Lech Poznań,4.05,3.25,1.97,Remis
2208,02 Gru 2017,20:30,17/18,Sandecja Nowy Sącz,2,2,Legia Warszawa,5.2,3.45,1.75,Remis
2209,02 Gru 2017,18:00,17/18,Zagłębie Lubin,4,2,Bruk-Bet T.,1.85,3.25,4.9,Wygrali gospodarze
2210,02 Gru 2017,15:30,17/18,Wisła Płock,2,0,Arka Gdynia,2.4,3.1,3.2,Wygrali gospodarze
2211,01 Gru 2017,20:30,17/18,Lechia Gdańsk,3,1,Śląsk Wrocław,2.12,3.4,3.55,Wygrali gospodarze
2212,01 Gru 2017,18:00,17/18,Jagiellonia Białystok,1,0,Pogoń Szczecin,2.02,3.4,3.85,Wygrali gospodarze
2213,27 Lis 2017,18:00,17/18,Bruk-Bet T.,3,3,Wisła Kraków,3.1,3.1,2.45,Remis
2214,26 Lis 2017,18:00,17/18,Śląsk Wrocław,1,0,Zagłębie Lubin,2.92,3.15,2.55,Wygrali gospodarze
2215,26 Lis 2017,15:30,17/18,Lech Poznań,2,1,Wisła Płock,1.58,3.8,6.15,Wygrali gospodarze
2216,25 Lis 2017,20:30,17/18,Korona Kielce,3,2,Legia Warszawa,3.25,3.27,2.25,Wygrali gospodarze
2217,25 Lis 2017,18:00,17/18,Arka Gdynia,5,0,Sandecja Nowy Sącz,2.02,3.25,3.9,Wygrali gospodarze
2218,25 Lis 2017,16:00,17/18,Pogoń Szczecin,2,2,Piast Gliwice,1.8,3.5,4.75,Remis
2219,24 Lis 2017,20:30,17/18,Górnik Zabrze,3,1,Jagiellonia Białystok,2.35,3.15,3.25,Wygrali gospodarze
2220,24 Lis 2017,18:00,17/18,Cracovia,2,1,Lechia Gdańsk,3.05,3.1,2.5,Wygrali gospodarze
2221,20 Lis 2017,18:00,17/18,Zagłębie Lubin,0,0,Korona Kielce,2.3,3.3,3,Remis
2222,19 Lis 2017,18:00,17/18,Legia Warszawa,1,0,Górnik Zabrze,1.75,3.73,4.55,Wygrali gospodarze
2223,19 Lis 2017,15:30,17/18,Śląsk Wrocław,1,2,Arka Gdynia,2.3,3.2,3.25,Wygrali goście
2224,18 Lis 2017,20:30,17/18,Lechia Gdańsk,3,0,Wisła Płock,1.92,3.4,4.15,Wygrali gospodarze
2225,18 Lis 2017,18:00,17/18,Sandecja Nowy Sącz,0,0,Lech Poznań,5.3,3.4,1.75,Remis
2226,18 Lis 2017,15:30,17/18,Piast Gliwice,1,0,Cracovia,2.35,3.25,3.15,Wygrali gospodarze
2227,17 Lis 2017,20:30,17/18,Wisła Kraków,1,0,Pogoń Szczecin,2.25,3.25,3.35,Wygrali gospodarze
2228,17 Lis 2017,18:00,17/18,Jagiellonia Białystok,0,0,Bruk-Bet T.,1.7,3.75,5.1,Remis
2229,05 Lis 2017,18:00,17/18,Pogoń Szczecin,1,3,Legia Warszawa,3.35,3.3,2.2,Wygrali goście
2230,05 Lis 2017,15:30,17/18,Bruk-Bet T.,2,1,Piast Gliwice,2.25,3.25,3.3,Wygrali gospodarze
2231,05 Lis 2017,15:30,17/18,Zagłębie Lubin,1,2,Cracovia,1.75,3.6,4.9,Wygrali goście
2232,04 Lis 2017,20:30,17/18,Górnik Zabrze,3,1,Lech Poznań,3.2,3.3,2.25,Wygrali gospodarze
2233,04 Lis 2017,18:00,17/18,Wisła Kraków,3,0,Sandecja Nowy Sącz,1.9,3.4,4.3,Wygrali gospodarze
2234,04 Lis 2017,15:30,17/18,Wisła Płock,1,2,Jagiellonia Białystok,2.8,3.15,2.65,Wygrali goście
2235,03 Lis 2017,20:30,17/18,Arka Gdynia,0,1,Lechia Gdańsk,2.72,3.15,2.75,Wygrali goście
2236,03 Lis 2017,18:00,17/18,Korona Kielce,3,0,Śląsk Wrocław,2.22,3.3,3.35,Wygrali gospodarze
2237,30 Paź 2017,18:00,17/18,Lechia Gdańsk,0,5,Korona Kielce,2,3.4,3.7,Wygrali goście
2238,29 Paź 2017,18:00,17/18,Legia Warszawa,2,0,Arka Gdynia,1.55,4,6.4,Wygrali gospodarze
2239,29 Paź 2017,15:30,17/18,Jagiellonia Białystok,3,1,Zagłębie Lubin,2.1,3.25,3.7,Wygrali gospodarze
2240,28 Paź 2017,20:30,17/18,Sandecja Nowy Sącz,1,2,Górnik Zabrze,2.92,3.15,2.55,Wygrali goście
2241,28 Paź 2017,18:00,17/18,Cracovia,1,1,Bruk-Bet T.,2.25,3.2,3.4,Remis
2242,28 Paź 2017,15:30,17/18,Piast Gliwice,2,1,Wisła Płock,2.55,3.2,2.87,Wygrali gospodarze
2243,27 Paź 2017,20:30,17/18,Lech Poznań,1,1,Wisła Kraków,1.82,3.6,4.45,Remis
2244,27 Paź 2017,18:00,17/18,Śląsk Wrocław,3,0,Pogoń Szczecin,2.32,3.2,3.25,Wygrali gospodarze
2245,23 Paź 2017,18:00,17/18,Wisła Płock,4,1,Śląsk Wrocław,2.45,3.25,2.97,Wygrali gospodarze
2246,22 Paź 2017,18:00,17/18,Wisła Kraków,0,1,Legia Warszawa,2.8,3.15,2.72,Wygrali goście
2247,22 Paź 2017,15:30,17/18,Arka Gdynia,4,1,Jagiellonia Białystok,2.89,3.1,2.6,Wygrali gospodarze
2248,21 Paź 2017,20:30,17/18,Lechia Gdańsk,3,3,Lech Poznań,2.78,3.1,2.7,Remis
2249,21 Paź 2017,18:00,17/18,Pogoń Szczecin,2,3,Bruk-Bet T.,1.78,3.5,4.9,Wygrali goście
2250,21 Paź 2017,15:30,17/18,Sandecja Nowy Sącz,1,1,Cracovia,2.5,3.1,3.1,Remis
2251,20 Paź 2017,20:30,17/18,Górnik Zabrze,3,3,Korona Kielce,2.17,3.3,3.45,Remis
2252,20 Paź 2017,18:00,17/18,Zagłębie Lubin,2,2,Piast Gliwice,1.63,3.75,5.8,Remis
2253,16 Paź 2017,18:00,17/18,Cracovia,3,0,Pogoń Szczecin,2.6,3.1,2.76,Wygrali gospodarze
2254,15 Paź 2017,18:00,17/18,Legia Warszawa,1,0,Lechia Gdańsk,1.83,3.55,4.28,Wygrali gospodarze
2255,15 Paź 2017,15:30,17/18,Zagłębie Lubin,3,2,Górnik Zabrze,1.9,3.6,3.9,Wygrali gospodarze
2256,14 Paź 2017,20:30,17/18,Śląsk Wrocław,0,2,Wisła Kraków,2.25,3.25,3.25,Wygrali goście
2257,14 Paź 2017,18:00,17/18,Bruk-Bet T.,1,1,Arka Gdynia,2.65,3.1,2.85,Remis
2258,14 Paź 2017,15:30,17/18,Piast Gliwice,2,2,Sandecja Nowy Sącz,2.15,3.2,3.55,Remis
2259,13 Paź 2017,20:30,17/18,Jagiellonia Białystok,1,1,Lech Poznań,2.73,3.1,2.73,Remis
2260,13 Paź 2017,18:00,17/18,Korona Kielce,2,0,Wisła Płock,2.15,3.25,3.5,Wygrali gospodarze
2261,01 Paź 2017,18:00,17/18,Lech Poznań,3,0,Legia Warszawa,2.6,3.1,2.94,Wygrali gospodarze
2262,01 Paź 2017,15:30,17/18,Górnik Zabrze,1,0,Piast Gliwice,1.85,3.6,4.35,Wygrali gospodarze
2263,01 Paź 2017,15:30,17/18,Wisła Płock,1,0,Bruk-Bet T.,2.25,3.2,3.4,Wygrali gospodarze
2264,30 Wrz 2017,20:30,17/18,Wisła Kraków,0,0,Jagiellonia Białystok,2.65,3.15,2.8,Remis
2265,30 Wrz 2017,18:00,17/18,Pogoń Szczecin,0,0,Korona Kielce,2.4,3.2,3,Remis
2266,30 Wrz 2017,15:30,17/18,Lechia Gdańsk,1,0,Zagłębie Lubin,2.4,3.2,3,Wygrali gospodarze
2267,29 Wrz 2017,20:30,17/18,Arka Gdynia,1,1,Cracovia,2.07,3.35,3.55,Remis
2268,29 Wrz 2017,18:00,17/18,Sandecja Nowy Sącz,1,1,Śląsk Wrocław,2.95,3.1,2.55,Remis
2269,25 Wrz 2017,18:00,17/18,Cracovia,1,3,Wisła Płock,2.35,3.15,3.25,Wygrali goście
2270,24 Wrz 2017,18:00,17/18,Jagiellonia Białystok,1,0,Legia Warszawa,2.8,3.15,2.75,Wygrali gospodarze
2271,24 Wrz 2017,15:30,17/18,Zagłębie Lubin,1,0,Sandecja Nowy Sącz,1.75,3.6,5.2,Wygrali gospodarze
2272,23 Wrz 2017,20:30,17/18,Korona Kielce,2,1,Wisła Kraków,2.5,3.1,3.05,Wygrali gospodarze
2273,23 Wrz 2017,18:00,17/18,Pogoń Szczecin,1,2,Górnik Zabrze,2.35,3.3,3.1,Wygrali goście
2274,23 Wrz 2017,15:30,17/18,Bruk-Bet T.,2,1,Lechia Gdańsk,2.76,3.2,2.65,Wygrali gospodarze
2275,22 Wrz 2017,20:30,17/18,Śląsk Wrocław,2,0,Lech Poznań,3,3.2,2.5,Wygrali gospodarze
2276,22 Wrz 2017,18:00,17/18,Piast Gliwice,0,1,Arka Gdynia,2.3,3.15,3.35,Wygrali goście
2277,18 Wrz 2017,18:00,17/18,Lechia Gdańsk,3,3,Jagiellonia Białystok,2.22,3.15,3.45,Remis
2278,17 Wrz 2017,18:00,17/18,Legia Warszawa,1,0,Cracovia,1.45,4.2,8,Wygrali gospodarze
2279,17 Wrz 2017,15:30,17/18,Sandecja Nowy Sącz,1,0,Bruk-Bet T.,2.75,3.05,2.75,Wygrali gospodarze
2280,16 Wrz 2017,20:30,17/18,Wisła Kraków,2,0,Piast Gliwice,1.8,3.55,4.65,Wygrali gospodarze
2281,16 Wrz 2017,18:00,17/18,Górnik Zabrze,2,2,Śląsk Wrocław,2.3,3.15,3.35,Remis
2282,16 Wrz 2017,15:30,17/18,Wisła Płock,3,1,Pogoń Szczecin,2.75,3.1,2.85,Wygrali gospodarze
2283,15 Wrz 2017,20:30,17/18,Lech Poznań,1,0,Korona Kielce,1.7,4,4.65,Wygrali gospodarze
2284,15 Wrz 2017,18:00,17/18,Arka Gdynia,1,1,Zagłębie Lubin,2.84,3.1,2.65,Remis
2285,11 Wrz 2017,18:00,17/18,Piast Gliwice,1,2,Lechia Gdańsk,2.75,3.1,2.7,Wygrali goście
2286,10 Wrz 2017,18:00,17/18,Pogoń Szczecin,0,0,Lech Poznań,3.25,3.15,2.3,Remis
2287,10 Wrz 2017,15:30,17/18,Bruk-Bet T.,1,2,Górnik Zabrze,2.7,3.1,2.8,Wygrali goście
2288,09 Wrz 2017,20:30,17/18,Cracovia,1,1,Jagiellonia Białystok,2.85,3.15,2.62,Remis
2289,09 Wrz 2017,18:00,17/18,Śląsk Wrocław,2,1,Legia Warszawa,3.75,3.25,2.05,Wygrali gospodarze
2290,09 Wrz 2017,15:30,17/18,Korona Kielce,1,0,Sandecja Nowy Sącz,2.12,3.2,3.7,Wygrali gospodarze
2291,08 Wrz 2017,20:30,17/18,Arka Gdynia,3,1,Wisła Kraków,2.95,3.15,2.55,Wygrali gospodarze
2292,08 Wrz 2017,18:00,17/18,Zagłębie Lubin,2,2,Wisła Płock,1.82,3.45,4.7,Remis
2293,27 Sie 2017,18:00,17/18,Legia Warszawa,2,1,Zagłębie Lubin,1.77,3.5,4.25,Wygrali gospodarze
2294,27 Sie 2017,15:30,17/18,Lech Poznań,3,0,Arka Gdynia,1.57,3.7,6.1,Wygrali gospodarze
2295,27 Sie 2017,15:30,17/18,Sandecja Nowy Sącz,2,1,Pogoń Szczecin,2.75,3.05,2.8,Wygrali gospodarze
2296,26 Sie 2017,20:30,17/18,Wisła Kraków,1,1,Lechia Gdańsk,2.25,3.25,3.1,Remis
2297,26 Sie 2017,18:00,17/18,Jagiellonia Białystok,0,1,Piast Gliwice,1.65,3.4,5.9,Wygrali goście
2298,26 Sie 2017,15:30,17/18,Korona Kielce,2,1,Bruk-Bet T.,2.2,3.25,3.15,Wygrali gospodarze
2299,25 Sie 2017,20:30,17/18,Śląsk Wrocław,2,1,Cracovia,2.28,3.3,3.1,Wygrali gospodarze
2300,25 Sie 2017,18:00,17/18,Górnik Zabrze,4,0,Wisła Płock,2.17,3.25,3.4,Wygrali gospodarze
2301,21 Sie 2017,18:00,17/18,Zagłębie Lubin,3,0,Wisła Kraków,2.45,3.22,2.85,Wygrali gospodarze
2302,20 Sie 2017,18:00,17/18,Bruk-Bet T.,1,3,Lech Poznań,3.7,3.4,2,Wygrali goście
2303,20 Sie 2017,15:30,17/18,Wisła Płock,0,1,Legia Warszawa,3.3,3.45,2.1,Wygrali goście
2304,19 Sie 2017,20:30,17/18,Jagiellonia Białystok,1,1,Śląsk Wrocław,1.67,3.7,4.75,Remis
2305,19 Sie 2017,18:00,17/18,Piast Gliwice,2,0,Korona Kielce,2.25,3.25,3.1,Wygrali gospodarze
2306,19 Sie 2017,15:30,17/18,Arka Gdynia,0,3,Pogoń Szczecin,2.5,3.05,2.95,Wygrali goście
2307,18 Sie 2017,20:30,17/18,Cracovia,3,3,Górnik Zabrze,2.3,3.25,3,Remis
2308,18 Sie 2017,18:00,17/18,Lechia Gdańsk,2,3,Sandecja Nowy Sącz,1.62,3.7,5.7,Wygrali goście
2309,15 Sie 2017,15:30,17/18,Śląsk Wrocław,1,1,Bruk-Bet T.,1.9,3.25,3.95,Remis
2310,14 Sie 2017,18:00,17/18,Pogoń Szczecin,0,0,Lechia Gdańsk,2.65,3.05,2.65,Remis
2311,13 Sie 2017,18:00,17/18,Korona Kielce,2,3,Jagiellonia Białystok,2.6,3.2,2.6,Wygrali goście
2312,13 Sie 2017,15:30,17/18,Górnik Zabrze,1,1,Arka Gdynia,2,3.3,3.65,Remis
2313,12 Sie 2017,20:30,17/18,Wisła Kraków,2,1,Cracovia,1.78,3.6,4.25,Wygrali gospodarze
2314,12 Sie 2017,18:00,17/18,Lech Poznań,1,1,Zagłębie Lubin,1.78,3.55,4.3,Remis
2315,12 Sie 2017,15:30,17/18,Sandecja Nowy Sącz,0,1,Wisła Płock,2.32,3.15,2.95,Wygrali goście
2316,11 Sie 2017,20:30,17/18,Legia Warszawa,3,1,Piast Gliwice,1.51,4.2,5.4,Wygrali gospodarze
2317,07 Sie 2017,18:00,17/18,Arka Gdynia,0,0,Korona Kielce,2.2,3.25,3.2,Remis
2318,06 Sie 2017,18:00,17/18,Cracovia,0,2,Lech Poznań,3.35,3.25,2.15,Wygrali goście
2319,06 Sie 2017,15:30,17/18,Jagiellonia Białystok,1,3,Sandecja Nowy Sącz,1.62,3.7,5.7,Wygrali goście
2320,05 Sie 2017,20:30,17/18,Bruk-Bet T.,1,0,Legia Warszawa,4.7,3.65,1.75,Wygrali gospodarze
2321,05 Sie 2017,18:00,17/18,Zagłębie Lubin,3,0,Pogoń Szczecin,2.15,3.2,3.55,Wygrali gospodarze
2322,05 Sie 2017,15:30,17/18,Lechia Gdańsk,1,1,Górnik Zabrze,1.72,3.7,5,Remis
2323,04 Sie 2017,20:30,17/18,Wisła Płock,0,1,Wisła Kraków,3.05,3.2,2.3,Wygrali goście
2324,04 Sie 2017,18:00,17/18,Piast Gliwice,1,1,Śląsk Wrocław,2.65,3.15,2.7,Remis
2325,31 Lip 2017,18:00,17/18,Korona Kielce,4,2,Cracovia,2.25,3.2,3.25,Wygrali gospodarze
2326,30 Lip 2017,18:00,17/18,Lech Poznań,5,1,Piast Gliwice,1.7,3.6,5.2,Wygrali gospodarze
2327,30 Lip 2017,15:30,17/18,Arka Gdynia,1,1,Wisła Płock,2.45,3.15,2.87,Remis
2328,30 Lip 2017,15:30,17/18,Pogoń Szczecin,0,1,Jagiellonia Białystok,2.65,3.1,2.75,Wygrali goście
2329,29 Lip 2017,20:30,17/18,Górnik Zabrze,3,2,Wisła Kraków,2.85,3.15,2.5,Wygrali gospodarze
2330,29 Lip 2017,18:00,17/18,Legia Warszawa,2,0,Sandecja Nowy Sącz,1.45,4.3,6.75,Wygrali gospodarze
2331,28 Lip 2017,20:30,17/18,Śląsk Wrocław,3,2,Lechia Gdańsk,2.92,3.2,2.45,Wygrali gospodarze
