,Data,Godzina,Sezon,Gospodarze,Gole_gospodarze,Gole_goście,Goście,Oddsy_gospodarze,Oddsy_remis,Oddsy_goście,Kto_wygrał
193,27 Paź 2024,12:15,24/25,Stal Mielec,2,2,Zagłębie Lubin,2.34,3.42,2.94,Remis
194,26 Paź 2024,20:15,24/25,Lech Poznań,2,1,Radomiak Radom,1.48,4.59,6.26,Wygrali gospodarze
195,26 Paź 2024,17:30,24/25,Śląsk Wrocław,0,0,Raków Częstochowa,4.6,3.31,1.89,Remis
196,26 Paź 2024,14:45,24/25,Cracovia,6,2,Motor Lublin,1.82,3.73,4.29,Wygrali gospodarze
197,25 Paź 2024,20:30,24/25,Pogoń Szczecin,2,1,Puszcza Niepołomice,1.36,5.05,8.26,Wygrali gospodarze
198,25 Paź 2024,18:00,24/25,Piast Gliwice,3,3,Lechia Gdańsk,1.55,4.23,6.2,Remis
199,23 Paź 2024,18:30,24/25,Śląsk Wrocław,2,1,Stal Mielec,2.01,3.44,3.82,Wygrali gospodarze
200,21 Paź 2024,19:00,24/25,Radomiak Radom,2,0,Puszcza Niepołomice,1.78,3.74,4.48,Wygrali gospodarze
201,20 Paź 2024,17:30,24/25,Raków Częstochowa,1,0,Pogoń Szczecin,1.78,3.66,4.59,Wygrali gospodarze
202,20 Paź 2024,14:45,24/25,Górnik Zabrze,3,1,Stal Mielec,1.87,3.58,4.18,Wygrali gospodarze
203,20 Paź 2024,12:15,24/25,GKS Katowice,0,0,Śląsk Wrocław,2.08,3.36,3.64,Remis
204,19 Paź 2024,20:15,24/25,Cracovia,0,2,Lech Poznań,3.23,3.27,2.29,Wygrali goście
205,19 Paź 2024,17:30,24/25,Zagłębie Lubin,1,3,Jagiellonia Białystok,2.36,3.68,2.81,Wygrali goście
206,19 Paź 2024,14:45,24/25,Motor Lublin,3,4,Widzew Łódź,2.6,3.37,2.67,Wygrali goście
207,18 Paź 2024,20:30,24/25,Lechia Gdańsk,0,2,Legia Warszawa,4.31,3.83,1.78,Wygrali goście
208,18 Paź 2024,18:00,24/25,Korona Kielce,0,2,Piast Gliwice,3.16,2.93,2.56,Wygrali goście
209,06 Paź 2024,20:15,24/25,Jagiellonia Białystok,1,1,Legia Warszawa,2.5,3.38,2.77,Remis
210,06 Paź 2024,17:30,24/25,Pogoń Szczecin,1,0,Piast Gliwice,2.14,3.24,3.6,Wygrali gospodarze
211,06 Paź 2024,14:45,24/25,Śląsk Wrocław,2,4,Cracovia,2.54,3.19,2.85,Wygrali goście
212,05 Paź 2024,20:15,24/25,Lech Poznań,1,2,Motor Lublin,1.53,4.28,5.92,Wygrali goście
